OrijinalIsim,DuzenlenmisFirmaAdi,VKN,Cari_Kod
AKDEM TEKSTİL SAN.VE TİC.LTD.ŞTİ.,AKDEM TEKSTİL SAN.VE TİC. LTD. ŞTİ..,0200048980,
AKDENIZ ÜNIVERSITESI KIMYA BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ KİMYA BÖLÜMÜ,,
AKDENIZ ÜNIVERSITESI ZIRAAT MÜHENDISLIĞI,AKDENİZ ÜNİVERSİTESİ ZİRAAT MÜHENDİSLİĞİ,,
AKDENİZ BELEDİYELER BİRLİĞİ,AKDENİZ BELEDİYELER BİRLİĞİ,,
AKDENİZ CHEMSON KİMYA SANAYİ VE TİC. A.Ş.,AKDENİZ CHEMSON KİMYA SANAYİ VE TİC. A.Ş.,0210050682,120.01-000728
AKDENİZ SU ÜRÜNLERI ARAŞTIRMA MERKEZI,AKDENİZ SU ÜRÜNLERİ ARAŞTIRMA MERKEZİ,,
AKDENİZ TANITIM A.Ş,AKDENİZ TANİTİM A.Ş,0210052562,
AKDENİZ ÜNIVERSITESI,AKDENİZ ÜNİVERSİTESİ,,
AKDENİZ ÜNIVERSITESI ARKEOLOJI BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ ARKEOLOJİ BÖLÜMÜ,,
AKDENİZ ÜNIVERSITESI FEN FAKÜLTESI,AKDENİZ ÜNİVERSİTESİ FEN FAKÜLTESİ,,
AKDENİZ ÜNİVERSİTESİ BİYOLOJİ BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ BİYOLOJİ BÖLÜMÜ,,
AKDENİZ ÜNİVERSİTESİ ÇEVRE MÜHENDİSLİĞİ,AKDENİZ ÜNİVERSİTESİ ÇEVRE MÜHENDİSLİĞİ,,
AKDENİZ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,AKDENİZ ÜNİVERSİTESİ DİŞ HEKİMLİĞİ FAKÜLTESİ,,
AKDENİZ ÜNİVERSİTESİ DÖNER SERMAYE İŞLETME MÜDÜRLÜĞÜ,AKDENİZ ÜNİVERSİTESİ DÖNER SERMAYE İŞLETME MÜDÜRLÜĞÜ,0210549153,120-07-01050
AKDENİZ ÜNİVERSİTESİ GIDA GÜVENLİĞİ VE TARIMSAL ARAŞTIRMA MERKEZİ,AKDENİZ ÜNİVERSİTESİ GIDA GÜVENLİĞİ VE TARİMSAL ARAŞTIRMA MERKEZİ,0210549153,
AKDENİZ ÜNİVERSİTESİ GIDA MÜHENDİSLİĞİ BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ GIDA MÜHENDİSLİĞİ BÖLÜMÜ,,
AKDENİZ ÜNİVERSİTESİ GÖYNÜK MUTFAK SANATLARI MYO,AKDENİZ ÜNİVERSİTESİ GÖYNÜK MUTFAK SANATLARİ MYO,,
AKDENİZ ÜNİVERSİTESİ GÜZEL SANATLAR FAKÜLTESİ,AKDENİZ ÜNİVERSİTESİ GÜZEL SANATLAR FAKÜLTESİ,,
AKDENİZ ÜNİVERSİTESİ KİMYA BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ KİMYA BÖLÜMÜ,,
AKDENİZ ÜNİVERSİTESİ REKTÖRLÜĞÜ BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNASYON BİRİMİ,AKDENİZ ÜNİVERSİTESİ REKTÖRLÜĞÜ BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNASYON BİRİMİ,0210918904,120.01-000362
AKDENİZ ÜNİVERSİTESİ REKTÖRLÜĞÜ SAĞLIK, UYGULAMA VE ARAŞTIRMA MERKEZİ (HASTANE),AKDENİZ ÜNİVERSİTESİ REKTÖRLÜĞÜ SAĞLIK UYGULAMA VE ARAŞTIRMA MERKEZİ (HASTANE),0210549153,120.01-000368
AKDENİZ ÜNİVERSİTESİ STRATEJİ GELİŞTİRME DAİRE BAŞKANLIĞI,AKDENİZ ÜNİVERSİTESİ STRATEJİ GELİŞTİRME DAİRE BAŞKANLİĞİ,0210053694,120.01-000374
AKDENİZ ÜNİVERSİTESİ SU ÜRÜNLERİ FAKÜLTESİ,AKDENİZ ÜNİVERSİTESİ SU ÜRÜNLERİ FAKÜLTESİ,,
AKDENİZ ÜNİVERSİTESİ TIP FAKÜLTESİ,AKDENİZ ÜNİVERSİTESİ TIP FAKÜLTESİ,,
AKDENİZ ÜNİVERSİTESİ UYG.VE ARAŞ.HAST.,AKDENİZ ÜNİVERSİTESİ UYG.VE ARAŞ.HAST.,0210549153,
AKDENİZ ÜNİVERSİTESİ ZİRAAT FAKÜLTESİ BAHÇE BİTKİLERİ BÖLÜMÜ,AKDENİZ ÜNİVERSİTESİ ZİRAAT FAKÜLTESİ BAHÇE BİTKİLERİ BÖLÜMÜ,0210053694,
AKDENİZ ÜNİVERSİTESİ ZİRAAT FAKÜLTESİ TOPRAK BİLİMİ VE BİTKİ BESLEME A.B.D.,AKDENİZ ÜNİVERSİTESİ ZİRAAT FAKÜLTESİ TOPRAK BİLİMİ VE BİTKİ BESLEME A.B.D.,,
AKDOĞAN PLASTİK SAN.TİC.LTD.ŞTİ.,AKDOĞAN PLASTİK SAN.TİC. LTD. ŞTİ..,,
AKDU SÜT,AKDU SÜT,,
AKE MAKİNA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKE MAKİNA SANAYİ VE TİCARET LİMİTED ŞTİ.,,
AKEAD YAZILIM A.Ş.,AKEAD YAZILIM A.Ş.,,
AKEL GIDA SAN.TİC.A.Ş.,AKEL GIDA SAN.TİC.A.Ş.,,
AKEM KIMYA SAN. VE TİC. LTD. ŞTİ.,AKEM KİMYA SAN. VE TİC. LTD. . ŞTİ..,,
AKER BOYA VE KIMYA SAN.TİC.LTD.ŞTİ.,AKER BOYA VE KİMYA SAN.TİC. LTD. ŞTİ..,0230017067,
AKER PLASTİK MAKİNA SANAYİ TİC.LTD.ŞTİ.,AKER PLASTİK MAKİNA SANAYİ TİC. LTD. ŞTİ..,0230275986,
AKER TEKSTİL TİC. VE SAN. LTD. ŞTİ.,AKER TEKSTİL TİC. VE SAN. LTD. . ŞTİ..,,
AKERLER MEDİKAL İNŞAAT ENDÜSTRİYEL MUTFAK HAVALANDIRMA SANAYİ LTD. ŞTİ,AKERLER MEDİKAL İNŞAAT ENDÜSTRİYEL MUTFAK HAVALANDİRMA SANAYİ LTD. . ŞTİ.,,
AKFA GROUP OF COMPANIES,AKFA GROUP OF COMPANİES,,
AKFEL ENDÜSTRI TESISLERI İMALAT VE TAAHHÜT A.Ş,AKFEL ENDÜSTRİ TESİSLERİ İMALAT VE TAAHHÜT A.Ş,,
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,,
AKFIRAT GIDA,AKFİRAT GIDA,,
ÇİMSTONE İNŞAAT MALZEMELERİ SAN.VE TİC.A.Ş.,ÇİMSTONE İNŞAAT MALZEMELERİ SAN.VE TİC.A.Ş.,2570136708,120.01-001821
AKGİRİŞİM MÜTEAHHİTLIK MÜŞAVIRLIK VE ÇEVRE TEKNOLOJILERI SANAYI VE TIC. A.Ş,AKGİRİŞİM MÜTEAHHİTLİK MÜŞAVİRLİK VE ÇEVRE TEKNOLOJİLERİ SANAYİ VE TIC. A.Ş,,
AKGÜL TOHUMCULUK TAR.SAN.VE TİC.LTD.ŞTİ.,AKGÜL TOHUMCULUK TAR.SAN.VE TİC. LTD. ŞTİ..,0240616516,
AKGÜLLER A.Ş.,AKGÜLLER A.Ş.,0240080222,
AKGÜN GROUP,AKGÜN GROUP,,
AKGÜN SERAMIK SAN. VE TİC. A.Ş.,AKGÜN SERAMİK SAN. VE TİC. A.Ş.,0250051808,120.01-002081
AKGÜNLER LOJİSTIK SANAYI VE TICARET A.Ş,AKGÜNLER LOJİSTİK SANAYİ VE TİCARET A.Ş,,
AKHİSAR TİCARET BORSASI,AKHİSAR TİCARET BORSASİ,0250028881,
AKIM MEDİKAL SAN. TİC. LTD. ŞTİ.,AKIM MEDİKAL SAN. TİC. LTD. . ŞTİ..,0250415655,
AKIM METAL SAN. VE TİC. A.Ş.,AKIM METAL SAN. VE TİC. A.Ş.,,
AKIN ILAÇ SAN. VE TIC LTD.STI,AKIN ILAÇ SAN. VE TIC LTD. . ŞTİ.,0270189750,
AKIN LABORATUVAR CİHAZLARI,AKIN LABORATUVAR CİHAZLARİ,,
AKINAL SENTETİK TEKS.SAN.VE TİC.A.Ş.,AKİNAL SENTETİK TEKS.SAN.VE TİC.A.Ş.,0270098899,
AKINLAR TEKSTİL,AKİNLAR TEKSTİL,,
AKIŞ KONTROL TEKNOLOJİLERI SAN. VE TIC. LTD. ŞTI.,AKIŞ KONTROL TEKNOLOJİLERİ SAN. VE TIC. LTD. . ŞTİ..,,
AKİŞ BOYA SAN.VE TİC. A.Ş,AKİŞ BOYA SAN.VE TİC. A.Ş,0110032737,120.01-002544
AKKAY BİLIŞIM,AKKAY BİLİŞİM,,
AKKAYA KUYUMCULUK-ALİ AKKAYA,AKKAYA KUYUMCULUK-ALİ AKKAYA,,
AK-KİM KİMYA SAN. VE TİC. A.Ş.,AK-KİM KİMYA SAN. VE TİC. A.Ş.,0110033222,
AKKİM MATBAACILIK VE KIMYA SAN.TİC.LTD.ŞTİ.,AKKİM MATBAACİLİK VE KİMYA SAN.TİC. LTD. ŞTİ..,0300077479,
AKKİM SİLİKON KİMYA SANAYİ VE TİCARET A.Ş.,AKKİM SİLİKON KİMYA SANAYİ VE TİCARET A.Ş.,0301095359,120.01-000813
AKKİM YAPI KİMYASALLARI SAN.TİC.A.Ş,AKKİM YAPI KİMYASALLARİ SAN.TİC.A.Ş,0300169812,120.01-000769
AKKO DERİ KIMYA SAN.VE TİC.LTD.ŞTİ.,AKKO DERİ KİMYA SAN.VE TİC. LTD. ŞTİ..,0300281830,
AKKUYU NÜKLEER AŞ.,AKKUYU NÜKLEER A.Ş. .,,
AKLAB GROUP,AKLAB GROUP,,
AKLAR İPLİK GIDA SANAYİ A.Ş.,AKLAR İPLİK GIDA SANAYİ A.Ş.,0310033987,
AKM BOYA MAKINE SAN. VE TIC. LTD. STI,AKM BOYA MAKİNE SAN. VE TIC. LTD. . ŞTİ.,,
AKM KALİBRASYON LTD.ŞTİ,AKM KALİBRASYON LTD. ŞTİ.,0310564697,
AKMAN TEKSTİL TİC.SAN. A.Ş.,AKMAN TEKSTİL TİC.SAN. A.Ş.,0320012956,
AKO GRUP,AKO GRUP,,
AKO SAĞLIK SAN. VE TİC. A.Ş.,AKO SAĞLIK SAN. VE TİC. A.Ş.,,
AKOVA DIŞ TİC. A.Ş.,AKOVA DIŞ TİC. A.Ş.,,
AKPA ALÜMİNYUM SANAYİ VE TİCARET A.Ş.,AKPA ALÜMİNYUM SANAYİ VE TİCARET A.Ş.,,
AKPINAR GIDA PAZARLAMA TİC. LTD. ŞTİ.,AKPİNAR GIDA PAZARLAMA TİC. LTD. . ŞTİ..,,
AKPOLİMER AKRİLİK LEVHA SAN.TİC.LTD.ŞTİ.,AKPOLİMER AKRİLİK LEVHA SAN.TİC. LTD. ŞTİ..,,
AKRİPOL KIMYA SAN. TİC. LTD. ŞTİ.,AKRİPOL KİMYA SAN. TİC. LTD. . ŞTİ..,0340370875,120.01-002489
AKROPA AHŞAP VE PANEL,AKROPA AHŞAP VE PANEL,,
AKRULO FIRÇA SAN. VE TİC. LTD. ŞTİ.,AKRULO FIRÇA SAN. VE TİC. LTD. . ŞTİ..,,
AKS KOZMETİK KİMYA SAN TİC LTD ŞTİ,AKS KOZMETİK KİMYA SAN TİC LTD. ŞTİ.,0340361227,
AKSA AKRİLİK KİMYA SAN.A.Ş.,AKSA AKRİLİK KİMYA SAN.A.Ş.,0340008149,120.01-000724
AKSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,AKSA ENERJİ ÜRETİM ANONİM ŞTİ.,0340050634,
AKSA KABLO SANAYİ VE TİC. LTD. ŞTİ.,AKSA KABLO SANAYİ VE TİC. LTD. . ŞTİ..,,
AKSA POLİP TEKSTİL SAN.TİC.LTD.ŞTİ.,AKSA POLİP TEKSTİL SAN.TİC. LTD. ŞTİ..,,
AKSAKAL YATIRIM İNŞAAT İŞLETMELERİ A.Ş I NURLU YATIRIM İŞLETMELERI İNŞAAT SAN. VE TIC.LTD.ŞTI,AKSAKAL YATİRİM İNŞAAT İŞLETMELERİ A.Ş I NURLU YATİRİM İŞLETMELERİ İNŞAAT SAN. VE TIC. LTD. ŞTİ.,,
AKSAN ALÜMİNYUM,AKSAN ALÜMİNYUM,,
AKSAN KOZMETİK,AKSAN KOZMETİK,,
AKSAN METAL SAN.TİC.A.Ş.,AKSAN METAL SAN.TİC.A.Ş.,0340028441,
AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ,,
AKSARAY TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ MESLEKİ VE TEKNİK ANADOLU LİSESİ,AKSARAY TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ MESLEKİ VE TEKNİK ANADOLU LİSESİ,0340393493,
AKSARAY ÜNİVERSİTESİ EĞİTİM VE ARAŞTIRMA HASTANESİ DÖNER SERMAYE İŞLETMESİ,AKSARAY ÜNİVERSİTESİ EĞİTİM VE ARAŞTIRMA HASTANESİ DÖNER SERMAYE İŞLETMESİ,0340214437,120.01-002523
AKSARAY ÜNİVERSİTESİ BİLİMSEL VE TEKNOLOJİK UYGULAMA VE ARAŞTIRMA MERKEZİ,AKSARAY ÜNİVERSİTESİ BİLİMSEL VE TEKNOLOJİK UYGULAMA VE ARAŞTIRMA MERKEZİ,0340378410,
AKSARAY ÜNİVERSİTESİ BİYOTEKNOLOJİ VE MOLEKÜLER BİYOLOJİ BÖLÜMÜ,AKSARAY ÜNİVERSİTESİ BİYOTEKNOLOJİ VE MOLEKÜLER BİYOLOJİ BÖLÜMÜ,,
AKSARAY ÜNİVERSİTESİ ÇEVRE MÜHENDİSLİĞİ BÖLÜMÜ,AKSARAY ÜNİVERSİTESİ ÇEVRE MÜHENDİSLİĞİ BÖLÜMÜ,,
AKSARAY ÜNİVERSİTESİ GIDA MÜHENDİSLİĞİ,AKSARAY ÜNİVERSİTESİ GIDA MÜHENDİSLİĞİ,,
AKSARAY ÜNİVERSİTESİ REKTÖRLÜK ÖZEL KALEM(BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNATÖRLÜĞÜ),AKSARAY ÜNİVERSİTESİ REKTÖRLÜK ÖZEL KALEM(BİLİMSEL ARAŞTIRMA PROJELERİ KOORDİNATÖRLÜĞÜ),,
AKSARAY ÜNİVERSİTESİ SPOR VE SAĞLIK ALANINDA İHTİSASLAŞMA KOORDİNATÖRLÜĞÜ,AKSARAY ÜNİVERSİTESİ SPOR VE SAĞLIK ALANİNDA İHTİSASLAŞMA KOORDİNATÖRLÜĞÜ,,
AKSARAY ÜNİVERSİTESİ VETERINER FAKÜLTESİ VİROLOJİ ANABİLİM DALI,AKSARAY ÜNİVERSİTESİ VETERİNER FAKÜLTESİ VİROLOJİ ANABİLİM DALI,,
AKSARAY ÜNİVERSİTESİ VETERİNER FAKÜLTESİ,AKSARAY ÜNİVERSİTESİ VETERİNER FAKÜLTESİ,,
AKSENSE MEDİKAL BİYOTEKNOLOJİ LAB. AR-GE SAN. VE TİC. A.Ş.,AKSENSE MEDİKAL BİYOTEKNOLOJİ LAB. AR-GE SAN. VE TİC. A.Ş.,,
AKSİS ENDÜSTRİ,AKSİS ENDÜSTRİ,,
AKSOY PLASTİK SAN.VE TİC.A.Ş.,AKSOY PLASTİK SAN.VE TİC.A.Ş.,,
AKSU ECZACILIK VE İLAÇ SAN. İTH. İHR. LTD. ŞTİ.,AKSU ECZACİLİK VE İLAÇ SAN. İTH. İHR. LTD. . ŞTİ..,0380107838,
AKSU FARMA TIBBİ ÜRÜNLER İLAÇ SAN.VE TİC.LTD.ŞTİ.,AKSU FARMA TIBBİ ÜRÜNLER İLAÇ SAN.VE TİC. LTD. ŞTİ..,0380070961,120.01-000801
AKSU MEDİKAL LAB. TIB. MALZ. CİH. VE DİŞ MALZ.,AKSU MEDİKAL LAB. TIB. MALZ. CİH. VE DİŞ MALZ.,,
AKSU TOST MAKİNALARI SAN.VE TİC.A.Ş.,AKSU TOST MAKİNALARİ SAN.VE TİC.A.Ş.,,
AKSUVİTAL DOĞAL ÜRÜNL.GIDA SAN.VE TİC.A.Ş.,AKSUVİTAL DOĞAL ÜRÜNL.GİDA SAN.VE TİC.A.Ş.,9480025791,120.01-000747
AKSÜS KİMYA,AKSÜS KİMYA,,
AKSÜS YAPI VE ENTEGRE ATIK İŞLETMELERİ SAN. VE TİC.LTD.ŞTİ.,AKSÜS YAPI VE ENTEGRE ATIK İŞLETMELERİ SAN. VE TİC. LTD. ŞTİ..,,
AK-TAŞ DIŞ TİCARET A.Ş,AK-TAŞ DIŞ TİCARET A.Ş,0110187840,120.01-001867
AKTAŞ HAVA SÜSPANSİYON SİSTEMLERİ A.Ş.,AKTAŞ HAVA SÜSPANSİYON SİSTEMLERİ A.Ş.,0410111174,
AKTAŞ SAĞLIK KOZMETİK VE TEMİZLİK ÜRÜNLERİ SAN. VE TİC.A.Ş.,AKTAŞ SAĞLIK KOZMETİK VE TEMİZLİK ÜRÜNLERİ SAN. VE TİC.A.Ş.,,
AKTEKNİK İNŞAAT,AKTEKNİK İNŞAAT,,
AKTEN KOZMETİK,AKTEN KOZMETİK,,
AKTER İTH.İHR.TEKS.PLS.İNŞ. SAN VE TİC LTD ŞTİ.,AKTER İTH.İHR.TEKS.PLS.İNŞ. SAN VE TİC LTD. ŞTİ..,0420126865,
AKTİF FARMA KİMYA TİC. LTD. ŞTİ.,AKTİF FARMA KİMYA TİC. LTD. . ŞTİ..,,
AKTİF GÜVEN DIŞ TİC.YAZILIM VE MÜH.LTD.,AKTİF GÜVEN DIŞ TİC.YAZİLİM VE MÜH. LTD. .,,
AKTİF POLİÜRETAN SAN. VE TİC. LTD.ŞTİ.,AKTİF POLİÜRETAN SAN. VE TİC. LTD. ŞTİ..,,
AKTİF TIBBİ SAĞLIK,AKTİF TIBBİ SAĞLIK,,
AKTİF YAPIŞTIRICILAR VE KİMYA,AKTİF YAPİŞTİRİCİLAR VE KİMYA,,
AKTİN TEKSTİL İTHALAT İHRACAT TİC.SAN.A.Ş.,AKTİN TEKSTİL İTHALAT İHRACAT TİC.SAN.A.Ş.,0420022171,
AKTOPS TEKSTİL SAN.A.Ş.,AKTOPS TEKSTİL SAN.A.Ş.,0110036831,
AKTUNA LTD.,AKTUNA LTD. .,,
AKTÜRK GRUP,AKTÜRK GRUP,,
AKUA KOCAMAN SU ÜRÜNLERİ ÜRETİM VE PAZ.LTD.ŞTİ,AKUA KOCAMAN SU ÜRÜNLERİ ÜRETİM VE PAZ. LTD. ŞTİ.,,
AKUMSAN PLASTİK ÜRÜNLER A.Ş.,AKUMSAN PLASTİK ÜRÜNLER A.Ş.,0430023882,
AKUVATUR AKDENİZ BALIKLARI,AKUVATUR AKDENİZ BALİKLARİ,,
AKVADİ ZEYTINYAĞI,AKVADİ ZEYTİNYAĞİ,,
AKVAPLAST PLASTIK VE DEN.SAN.VE TİC.A.Ş,AKVAPLAST PLASTİK VE DEN.SAN.VE TİC.A.Ş,0430594229,
AKVATEK SU ÜRÜNLERİ TURİZM SANAYİ VE TİC.A.Ş.,AKVATEK SU ÜRÜNLERİ TURİZM SANAYİ VE TİC.A.Ş.,0430369223,120.01-001633
AKVIA GROUP,AKVIA GROUP,,
AKWEL GEBZE TURKEY OTOMOTIV SANAYI LIMITED SIRKETI,AKWEL GEBZE TURKEY OTOMOTİV SANAYİ LİMİTED ŞTİ.,1050494905,120.01-002450
AKWEL GEBZE TURKEY OTOMOTİV SANAYI LIMITED ŞIRKETI,AKWEL GEBZE TURKEY OTOMOTİV SANAYİ LİMİTED ŞTİ.,,120.01-002450
AKY PHARMA İLAÇ GIDA KOZ. SAN. TİC. LTD. ŞTİ.,AKY PHARMA İLAÇ GIDA KOZ. SAN. TİC. LTD. . ŞTİ..,6090890064,120.01-002966
AKYOL PLASTİK SAN.TİC.A.Ş.,AKYOL PLASTİK SAN.TİC.A.Ş.,0450017426,
AKYURT PHARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,AKYURT PHARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞTİ.,,
AKYÜZ DERI TEKSTIL,AKYÜZ DERI TEKSTİL,,
AKZO NOBEL BOYA SAN.TİC.A.Ş.,AKZO NOBEL BOYA SAN.TİC.A.Ş.,0460038349,
AKZO NOBEL KEMIPOL KİMYA SAN.TİC.A.Ş.,AKZO NOBEL KEMİPOL KİMYA SAN.TİC.A.Ş.,0460038349,120.01-001632
AL RAWAN COMPANY,AL RAWAN COMPANY,,
AL WAHA,AL WAHA,,
ALABANDA ÖZEL SAĞLIK YATIRIMLARI SAN.TİC.A.Ş.,ALABANDA ÖZEL SAĞLIK YATİRİMLARİ SAN.TİC.A.Ş.,0470532323,
ALAÇATI ÇEŞME SU İŞLETMELERİ SAN. VE TIC. A.Ş.,ALAÇATİ ÇEŞME SU İŞLETMELERİ SAN. VE TIC. A.Ş.,0470355088,
ALAGÖZ KİMYA SAĞLIK ÜRÜN. SAN. TİC. LTD. ŞTİ.,ALAGÖZ KİMYA SAĞLIK ÜRÜN. SAN. TİC. LTD. . ŞTİ..,,
ALAGÖZ MADEN SANAYİ VE TİCARET ANONİM ŞİRKETİ,ALAGÖZ MADEN SANAYİ VE TİCARET ANONİM ŞTİ.,0472034949,
ANAS INSTITUTE OF MOLECULAR BIOLOGY AND BIOTECHNOLOGIES,ANAS İNSTİTUTE OF MOLECULAR BİOLOGY AND BİOTECHNOLOGİES,,
ALAMOS GOLD,ALAMOS GOLD,,
ALANAR MEYVE VE GIDA ÜRETİM PAZARLAMA SAN. TİC. A.Ş.,ALANAR MEYVE VE GIDA ÜRETİM PAZARLAMA SAN. TİC. A.Ş.,,
ALANYA ALAADİN KEYKUBAT ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRE BAKLANLIĞI,ALANYA ALAADİN KEYKUBAT ÜNİVERSİTESİ İDARİ VE MALİ İŞLER DAİRE BAKLANLİĞİ,0480588777,120.01-002889
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,0550937662,120.01-002771
ALANYA BELEDİYESİ ATIKSU ARITMA TESİSİ,ALANYA BELEDİYESİ ATİKSU ARİTMA TESİSİ,,
ALANYA ÇEVRE LABORATUVARI MÜH.TIC.LTD.STI.,ALANYA ÇEVRE LABORATUVARİ MÜH.TİC. LTD. . ŞTİ. .,6850416341,
ALANYA DENGE TUR.İTH.İHR VE TIC.LTD.ŞTI,ALANYA DENGE TUR.İTH.İHR VE TIC. LTD. ŞTİ.,0480498666,
ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,,
ALARA TARIM ÜRÜNLERİ SAN.TİC.LTD.ŞTİ.,ALARA TARIM ÜRÜNLERİ SAN.TİC. LTD. ŞTİ..,0480035270,
ALARGA,ALARGA,,
ALARİS MEDİKAL VE ELEKTRONİK SİSTEMLER,ALARİS MEDİKAL VE ELEKTRONİK SİSTEMLER,,
ALARKO CARRIER SAN.VE TİC.A.Ş.,ALARKO CARRİER SAN.VE TİC.A.Ş.,0480036184,
ALAŞEHİR ALKOLLÜ İÇECEKLER SAN VE TİC. A.Ş.,ALAŞEHİR ALKOLLÜ İÇECEKLER SAN VE TİC. A.Ş.,8240215279,
"ALAŞEHİR TİCARET BORSASI VALİ CELALETTİN GÜVENÇ TOPRAK, YAPRAK, SU LABORATUVARI GIDA LTD.ŞTİ.,""ALAŞEHİR TİCARET BORSASİ VALİ CELALETTİN GÜVENÇ TOPRAK, YAPRAK, SU LABORATUVARİ GIDA LTD. ŞTİ.."",0480536173,"
ALATA BAHÇE KÜLTÜRLERİ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,ALATA BAHÇE KÜLTÜRLERİ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,0480388275,120.01-003507
ALBA KALIP VE OTOMSAYON MAKİNALARI İM.SAN.VE TİC.LTD.ŞTİ,ALBA KALIP VE OTOMSAYON MAKİNALARİ İM.SAN.VE TİC. LTD. ŞTİ.,,
ALBAFARMA İLAÇ SANAYİ VE TİCARET LTD. ŞTİ.,ALBAFARMA İLAÇ SANAYİ VE TİCARET LTD. . ŞTİ..,0490372790,
ALBAR KİMYA SAN.VE TİC.LTD.ŞTİ.,ALBAR KİMYA SAN.VE TİC. LTD. ŞTİ..,0490007432,120.01-001866
ALBARLAB LABORATUVAR ÜRÜNLERİ İHTALAT İHRACAT SAN. VE TİC. LTD. ŞTİ,ALBARLAB LABORATUVAR ÜRÜNLERİ İHTALAT İHRACAT SAN. VE TİC. LTD. . ŞTİ.,0490905816,120.01-001874
ALBAYRAK KAĞIT,ALBAYRAK KÂĞIT,,
ALBES DERİCİLİK VE TEKSTİL SANAYİ TİCARET A.Ş.,ALBES DERİCİLİK VE TEKSTİL SANAYİ TİCARET A.Ş.,,
ALBIO KIMYEVI MADDELER İTHALAT VE TICARET A.Ş.,ALBIO KİMYEVİ MADDELER İTHALAT VE TİCARET A.Ş.,,
ALBİLA SERUM BİYOLOJİK ÜRÜNLER SANAYİ VE TİC. A.Ş.,ALBİLA SERUM BİYOLOJİK ÜRÜNLER SANAYİ VE TİC. A.Ş.,0500549291,
ALBİOGEN PETROL ÜRÜNLERİ VE BİYOTEKNOLOJİ A.Ş.,ALBİOGEN PETROL ÜRÜNLERİ VE BİYOTEKNOLOJİ A.Ş.,7631048248,
ALC GRUP KİMYEVI MADDELER END. ÜRÜNLER SAN. VE TIC. LTD. ŞTI,ALC GRUP KİMYEVİ MADDELER END. ÜRÜNLER SAN. VE TIC. LTD. . ŞTİ.,,
ALCAS METAL,ALCAS METAL,,
ALCE ELEKTRİK SANAYİ VE TİCARET A.Ş.,ALCE ELEKTRİK SANAYİ VE TİCARET A.Ş.,0500027932,
AL-CO ALÜMİNYUM BAKIR VE MADENCİLİK A.Ş.,AL-CO ALÜMİNYUM BAKIR VE MADENCİLİK A.Ş.,,
ALCO İÇECEK SAN.TİC.A.Ş.,ALCO İÇECEK SAN.TİC.A.Ş.,0550440027,
ALCOAT METAL BOYAMA SAN.VE TİC.A.Ş,ALCOAT METAL BOYAMA SAN.VE TİC.A.Ş,0500492189,
ALCOSAN İÇECEK SAN. VE TİC. LTD.ŞTİ,ALCOSAN İÇECEK SAN. VE TİC. LTD. ŞTİ.,0500491556,
ALDAR MEDİKAL İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,ALDAR MEDİKAL İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞTİ.,,
ALDE ELEKTRONİK VE SAN.TİC.A.Ş.,ALDE ELEKTRONİK VE SAN.TİC.A.Ş.,0500041238,
ALE TEKNOLOJİ SİSTEMLERİ SAN. VE DIŞ TİC. A.Ş.,ALE TEKNOLOJİ SİSTEMLERİ SAN. VE DIŞ TİC. A.Ş.,0510222897,
ALEDA MAKİNA SAN. VE DIŞ TİC. LTD. ŞTİ.,ALEDA MAKİNA SAN. VE DIŞ TİC. LTD. . ŞTİ..,,
ALEX AVİEN,ALEX AVİEN,,
ALEX MURTFAK ÜRÜNLERİ SAN VE TİC A.Ş.,ALEX MURTFAK ÜRÜNLERİ SAN VE TİC A.Ş.,,
ALEYRA CONSULTING & CONSTRUCTION,ALEYRA CONSULTİNG & CONSTRUCTİON,,
